Movie Name,Original Language - Year of Release,Overview,MDL Rating
I Lost My Cat,Hong Kong Movie - 2022,"In a vintage-style shopping mall, Chun met a cat and a mysterious girl when he was working. They both call Bo. Neighborhood who working in the mall have different interpretations of Bo. Chun traveled to the mall to inquire,…",6.0
Modern Art,Hong Kong Movie - 2022,"In the year of 2012, NFT and virtual art become a new trend that the world all flatter about. This unique technology has replaced the importance of traditional works of art. On the contrary, it seems to have become an…",6.0
FLY,Hong Kong Movie - 2022,"A troop of youths had a quarrel with the children in the park and then got involved in a gang dispute.

(Source: Viddsee)",6.0
Sorry Baker,Hong Kong Movie - 2022,"Master Pong takes over a bakery because her wife has passed away for four years. The flawless bread fascinates a young girl, and she is desperate to uncover his secret of baking. However, there are no tricks Pong hides,…",8.0
Hello World,Hong Kong Movie - 2022,"Otis is a renowned virtual reality game designer. It is, therefore, ironic that he, of all people, is now trapped between reality and virtual reality, unable to discern between the two. A highly talented level designer…",7.0
B Side,Hong Kong Movie - 2022,"Jennie comes to a strange city, lives there for a while, and lives with her boyfriend Eagle. One day, Eagle suddenly dies, and Jennie reflects on her relationship with the city as she faces life. (Source: Viddsee.com)",9.0
Back and Forth,Hong Kong Movie - 2022,"In the night, when Piscis Austrinids meteor shower appears, Sze runs into Fai on the ferry with mixed feelings. There is an old saying: “One can go back to the past on the night of the meteor shower.” With the saying…",7.0
"Hei, I’m Home",Hong Kong Movie - 2022,"An aspiring singer-songwriter, Hei, in his late 20s, has to decide whether to donate part of his liver to his estranged dad as requested by the dad’s gay partner, Oscar.

(Source: Viddsee.com)",7.0
A Night in Cheung Wing,Hong Kong Movie - 2022,"A Night in Cheung Wing Restaurant, a Crazy Nerd, a Slutty Waitress, a Coward Gangster, a Homeless Writer, and a Barista in Parole. Everyone is stuck in the restaurant trying to take out an intrigant. They won’t stop…",7.0
Interview with Lo Ting: An Oral History Project,Hong Kong Movie - 2022,"Yu was a university communication major student who intended to shoot a documentary about her dearest friend and her grandfather. Grandfather suffers from Alzheimer's disease and starts to tell a story of his late wife,…",8.0
Alien Invasion 2,Chinese Movie - 2022,"It is rumored that aliens visited Xiajinggou in a spaceship decades ago and left behind a treasure. But today's Xiajinggou is just an ordinary northeastern village, and no one believes this nonsense. 　　 Wang Yongwang's…",
So-Fa-Gio 852,Hong Kong Movie - 2022,"Everything will have an unbalanced state. In ancient times, musicians and scientists have studied how sound frequency can regulate emotions and balance the state. Flowers make people calm and relaxed. And its language…",
Actor's Short Film 2,Japanese Movie - 2022,"~~ Relese dates: Feb 6, 2022 (Online) || Apr 1, 2022 (Cinema)",
Communication to Be Understood,Japanese Movie - 2022,"Kie's loud crying, echoes throughout the small coffee shop. Yumi gently watches over her. The manager of the coffee shop thinks he knows the reason for Kie's crying and tells her but... A girl power comedy! (Source:…",8.0
The Delivery Rider,Hong Kong Movie - 2022,"A delivery rider who was exhausted in life happened to meet a young lady who urgently needed help.

(Source: Viddsee)",7.0
Mermaid Squama,Hong Kong Movie - 2022,"In a story that spans between two eras, A Yau finds himself transported from modern times into his past life, reliving a journey of fantastical love with a girl named Man Man. This is the story of how Man Man, a fairy…",3.0
Enter Your Dream,Hong Kong Movie - 2022,"Sometimes, we may hear some inner whisper in our mind or the direct sense to tell us what to do. Maybe it is a reminder of our future. We always look back on our life, asking what if I did not make that decision? What…",6.0
"What’s Remembered, Lives",Hong Kong Movie - 2022,"Mystery singer Hayden, who became famous for his hit song, was then accused of rape and exposed for stealing the work of an unknown late singer-songwriter, causing a massive uproar. As people began to dig up other works…",8.0
Distancing,Hong Kong Movie - 2022,"As the epidemic hits, Cheung Wun Fa is unfortunately infected with COVID-19. Due to her extreme panic, she forces her son Weng Hin to stay in quarantine with her at home even after she recovers. All Weng Hin wants is…",8.0
Bitterness and Happiness,Hong Kong Movie - 2022,"Cheung Tsz Long, a nurse, was heartbroken because of the unfortunate death of his relatives. He returned to work in a bad physical and mental state, which caused an almost fatal medical accident. When Cheung Tsz Long…",7.0
The Mad Game,Chinese Movie - 2022,"In the neon-bright modern city, a premeditated ""criminal plan"" is kicking off... 　　 FT Entertainment, the leading Internet celebrity company in China, held a large-scale entertainment event in which fans and Internet…",
Electric Goddess,Hong Kong Movie - 2022,"In 2070, DJ singer Susan and her fans were raided by the Galaxy Force. Susan accidentally awakens one of the soldiers during chaos which turns into the beginning of the human consciousness transfer project. (Source:…",
Morning,Hong Kong Movie - 2022,"A couple live in this dream house. In the eyes of the man, the woman is like an angel full of love. He was intoxicated in living with her when time seemed to condense in this sweet and romantic moment. After he cautiously…",
Time Travel Agency,Hong Kong Movie - 2022,"Sometimes we may hear some inner whisper in our mind, or the direct sense to tell you what to do. Maybe, it is a reminder of our future. We always look back on our lives, asking what if I had not made that decision,…",
Shade of Brotherhood,Hong Kong Movie - 2022,"Yuet and Hang trained and grew up together and became special agents. A mystery mission with a lot of unexpected incidents threatens their brotherhood…

(Source: Viddsee.com)",
Heartbreak Diversion Service,Hong Kong Movie - 2022,"Karen — a girl from Malaysia, now working in Hong Kong — couldn’t stop thinking of her ex-boyfriend, and attempted to suicide. Karen cried on the phone to her best friend that she wanted to die, and was introduced…",
Game Over. Try Again?,Hong Kong Movie - 2022,"Band lead vocal Jacky gave up on music and his band at the age of 30, leaving behind his bandmates and brothers for 10 years. Yet he had borne this regret till his late years. While the death door is closing in, he is…",
Life Flows,Hong Kong Movie - 2022,"Light’s mother, who suffers from dementia, has been missing for a month. One day, she appears strangely at home, but she has turned into a phantom, replaying her life before she died and cannot be touched. Light, who…",
Blood Friends,Japanese Movie - 2022,"The film centers on Maki, Hitoko, Kaoru, and Nami, four girls who are part of their school's ""blood donation club"" who all enjoy having their blood drawn. One day, Maki meets Mai, a beautiful girl dressed in black, in…",5.0
Hello Mammmon 3,Chinese Movie - 2022,"Wang Jiacheng, a real estate salesman, met the God of Wealth by chance, and also smashed his magic weapon. If he can repair the magic weapon, the God of Wealth will reward him with glory and wealth. The poor boy who…",
What to Do with the Dead Kaiju?,Japanese Movie - 2022,"A large monster attacks Japan, but dies suddenly. It's only a matter of time that a gas explosion will take place from the carcass of the monster, which could cause the country to collapse. Obinata Arata is assigned…",6.6
You've Got a Friend,Japanese Movie - 2022,"Yoshida Yoshio, a diligent man who works for the city's water department and lives with his bedridden mother, is a hardcore masochist man. He regularly visits to the SM club queen Miho, but he still cannot forget the…",6.2
"Kinsenas, Katapusan",Filipino Movie - 2022,"A man falls for his daughter's classmate and they get entangled in a steamy affair. When their sexual desire becomes obsession, things turn crazy.

(Source: VivaMax)",6.3
Yumemiru Shogakko,Japanese Movie - 2022,,
The Flying Dutchman,Chinese Movie - 2022,"In the ancient city of Fengdu, the shaman witch spontaneously ignited and died at the sacrificial ceremony. The arrest of Di Xiao Si, who came to investigate the disappearance case, and prince Song Jiu Ling, who followed…",5.0
"Five Couple To Marry, Or Not?",Korean Movie - 2022,"The story of a man who observes couples and contemplates whether it would be good to get married.

(Source: HanCinema)",
New Kung Fu Cult Master 2,Hong Kong Movie - 2022,"This film tells the story of the Wudang faction Zhang Wu Ji, who was inadvertently involved in the strife of the Jianghu caused by the Dragon Saber. He went to arrest Zhao Min in order to save the martial arts master.…",7.2
Anaconda Mountain,Chinese Movie - 2022,"Huang Shen, Lin Wei and a group of their coworkers went to Mangshan to find news to save the newspaper company they work for, from bankruptcy. Instead of the news they encountered a giant snake raised by Aunt Mei. The…",8.0
