Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#3599,May Queen,Korean Drama - 2012,38 episodes,"The heroine Hae Joo begins life in utter poverty. But despite being burdened with the secret past of her parents, she navigates treacherous waters and overcomes obstacles to achieve her dreams. Her childhood sweetheart…",7.5
#3600,Long For You 2,Chinese Drama - 2018,24 episodes,"A story spanning thousands of years begins when an emissary of time arrives in the modern-day and reunites with his lover. Ye Gu and Xia Xi were once lovers. Two thousand years later, they meet again in the present.…",7.4
#3601,Not a Robot,Korean Drama - 2019,12 episodes,"The story of a girl who shuts herself off from the world and a housekeeping robot who goes to school against the backdrop of a near future.

(Source: Hancinema)",7.5
#3602,Kindaichi Shonen no Jikenbo 3,Japanese Drama - 2001,9 episodes,"Kindaichi finds himself onboard a cruise ship in which the captain mysteriously disappears the day after a big party. A search of the ship finds nothing, except for little drops of blood on the light switch in the captain's…",7.4
#3603,Poisonous Passion,Thai Drama - 2022,15 episodes,"Parichat became pregnant before discovering that her partner, Trin, was already married. After forcibly having the child aborted, he abandons her. Parichat is left alone and suicidal until her sister and brother-in-law…",7.4
#3604,Intern in My Heart,Thai Drama - 2024,10 episodes,"Ray is an intern with a special ability to see the true identity of his boss, Rin, who everybody considers evil. However, he'll do everything to win her heart.

(Source: WeTV Thailand Twitter)",7.4
#3605,Re: Na mo Naki Sekai no End Roll: Half a Year Later,Japanese Drama - 2021,3 episodes,"Set half a year later, after a plan was carried out on Christmas Eve. Kida receives a request to save a man from an organization. At first, Kida was going to turn down the request. He changed his mind after learning…",7.4
#3606,Family: The Unbreakable Bond,Korean Drama - 2023,12 episodes,"Kwon Do Hoon is an expert sniper and a secret agent working for the National Intelligence Service. To conceal his true identity, he lives a double life as a regular trading company employee, keeping even his wife Kang…",7.5
#3607,Demi-Gods and Semi-Devils,Chinese Drama - 2021,50 episodes,"Set under the reign of Emperor Zhe Zong of Song, the story revolves around the experiences of Qiao Feng, leader of the beggar clan, Duan Yu, a prince of Dali and Xu Zhu, a Shaolin monk. The three protagonists become…",7.5
#3608,Cupid of Zhou Dynasty,Chinese Drama - 2019,24 episodes,"Through a strange combination of circumstances, a bony beauty inherits her father's work in matchmaking and finds love. Yan Ruyu has always been different from the women of her time. She firmly believes that mutual attraction…",7.4
#3609,Love Me in Three Days,Chinese Drama - 2022,24 episodes,"Shan Yi Fan suffers from a strange disease; if he has five seconds of physical contact with someone he will change into that person's appearance and won't be able to change back until three days later. One day, he transforms…",7.5
#3610,Mengfei Comes Across,Chinese Drama - 2018,36 episodes,A story revolving around the mischievous Concubine Meng who starts out at odds with the King but falls in love with him in the process. Bu Meng is the daughter of a prominent public official during the Sui Dynasty. After…,7.5
#3611,Yankee-kun to Megane-chan,Japanese Drama - 2010,10 episodes,"Daichi Shinagawa is a bona fide “yankii”, a juvenile delinquent, who attends a prep high school. In fact, his reputation as a supreme tough is so widespread that he can’t walk the street without being challenged…",7.5
#3612,A Pillow Case of Mystery,Hong Kong Drama - 2006,20 episodes,"Sze Sai Lun, along with his family, comes into town to be its new judge. He soon ends up having to sentence the town fool. When the fool ends up hanged at his house, Wong Tin Pak is blamed for his suicide by the town's…",7.4
#3613,Wish Woosh Season 2,Korean Drama - 2019,10 episodes,"The drama is centered around Min Ji Woo and her feelings and concerns towards love. She is a hard-working, confident and nearly perfect worker. One day, a new employee joins her workplace and turns her life upside-down.",7.4
#3614,Doubles - Futari no Keiji,Japanese Drama - 2013,9 episodes,"To deal with the increasing violent crime rate in the Shinjuku area of Tokyo, a special investigation team is formed at the Shinjuku Police Station. Detective Shunsuke Yamashita and Detective Keiichi Tashiro begin work…",7.4
#3615,The Evolution of Our Love,Chinese Drama - 2018,40 episodes,"Ai Ruo Man is an outstanding and independent career woman with good qualifications. However, she is not often favored by men. Her ex-boyfriend even told her that no one would dare to love her due to her difficult personality.…",7.4
#3616,Oshii Keiji,Japanese Drama - 2019,4 episodes,"Oshii Takashi is a detective with excellent reasoning power. Unfortunately, he usually misses the criminal in front of him, and other detectives get recognition for the capture. He is transferred to the Utobashi Police…",7.5
#3617,Bon Appetit,Korean Drama - 2023,8 episodes,"Do Hoon is a dedicated office worker who immerses himself in his job, shuttling between home and the office day in and day out. His life seems monotonous, filled with loneliness and sadness. However, one day, his life…",7.5
#3618,My Special Girl,Chinese Drama - 2024,24 episodes,"It tells the story of AI engineer Gu Jiu Li, who founded Jiuqian Technology Company, which is dedicated to the development of companion robots. Hao Jing, a senior in a preschool education major, likes to sing, but because…",7.5
#3619,Hello Dear Ancestors,Chinese Drama - 2018,24 episodes,"During the Han Dynasty, Zhen Jun is driven off a cliff in a struggle for leadership of his family. Saved from plummeting to his death by a being from outer space, Zhen Jun is placed in a healing, deep sleep. In the year…",7.4
#3620,Gakeppuchi Hotel,Japanese Drama - 2018,10 episodes,"A once exclusive hotel in the outskirts well-known to only people in the know, is now on the brink of bankruptcy with a debt of 300 million yen, under the management of incapable and unmotivated staff. The diligent,…",7.4
#3621,Queen Dugu,Chinese Drama - 2019,50 episodes,"After their family was wrongfully persecuted due to the machinations of a corrupt official, Dugu Jia Luo held strict expectations for herself to be independent and strong even at a young age. Her husband Yang Jian is…",7.4
#3622,"Oh, Mando!",Filipino Drama - 2020,6 episodes,"Charming but timid college student Mando is your typical hopeless romantic. He meets Barry, an out-and-proud basketball star who is practically a prince from a fairytale. The only thing spoiling Mando's happy ending…",7.5
#3623,Alive,Korean Drama - 2019,8 episodes,"Tells the story of a protagonist joining a group through high-level competitors while working at the infamous counseling center. The horrible secrets hidden in a call center full of extraordinary things, such as the…",7.4
#3624,One Sunny Day,Korean Drama - 2014,10 episodes,The first LINE drama aimed at Thai audience which can be watched through LINE TV app. It was shot during early winter in Jeju Island and the main love story takes place in a beautiful scenery. One Sunny Day follows the…,7.5
#3625,Father's House,Korean Drama - 2009,2 episodes,"The drama begins in 1988 and focuses on the life of Kang Man Ho, a stuntman in his early 30s who has a one night stand with a pianist, Lee Hyun Jae. Man Ho soon has to learn how to take care of his son and become a father…",7.4
#3626,Jao Sao Salatan,Thai Drama - 2014,22 episodes,"When Khemika discovers she has a twin, Kwanta, and that her twin has gone missing, she poses as Kwanta to find out what happened to her. Chanon, Kwanta’s husband, is conflicted by his unfaithful wife’s reappearance.…",7.4
#3627,H.I.T,Korean Drama - 2007,20 episodes,"The Homicide Investigation Team (H.I.T.) led by Cha Soo Kyung, was established to investigate the case of a serial killer. The other four members were assigned from different precincts and, when they first started, they…",7.4
#3628,Bangkok Breaking,Thai Drama - 2021,6 episodes,"The six-episode series is centered around the wild world of Bangkok's road rescue services and Wanchai who is newly arrived in Bangkok and must unravel a city-wide conspiracy alongside a young, upstart journalist. (Source:…",7.4
#3629,Kekkon Yoteibi,Japanese Drama - 2023,8 episodes,"""Married at 26"" ""First child at 27"" ""Second child at 29""... She always just assumed that's the way things would go... 28-year-old Kawai Yoshiko is still single. She has a broken heart a few days before her 29th birthday.…",7.5
#3630,RESCUE,Japanese Drama - 2009,9 episodes,"Daichi Kitajima has become a firefighter as a consequence of his childhood experience of being rescued by a fire rescue team. Despite his trauma, he strives to be promoted to become a member of the Special Rescue Team.…",7.4
#3631,Cinderella Chef,Chinese Drama - 2018,56 episodes,"Ye Jia Yao travels back in time to ancient times, where she becomes the daughter of a magistrate with the name Ye Jin Xuan. When she wakes up, she is suddenly kidnapped to Hei Fang Camp, where she meets the leader of…",7.5
#3632,"I Am Sorry, I Love You",Taiwanese Drama - 2015,13 episodes,"When the man you love dies in a tragic accident, is it possible to go on with your life? Han Si Yi (Andrea Chen) was happy with her life with her boyfriend Ling Hong Pei (Jasper Liu), but Hong Pei dies tragically in…",7.4
#3633,Sumika Sumire,Japanese Drama - 2016,8 episodes,"Kisaragi Sumi is a 20-year-old university student. But do not be surprised that she is a 65-year-old inside. Under pressure to help out with the family business from a young age, she could not have a youth. Even afterwards,…",7.4
#3634,Graceful Friends,Korean Drama - 2020,17 episodes,"In his forties, Ahn Goong Chul is the very picture of a content middle-aged man. He has a happy family life, a tightly-knit group of friends from college and he excels at his career. But a shocking incident will have…",7.5
#3635,Umareru.,Japanese Drama - 2011,10 episodes,"The Hayashidas were a typical happy family of father, mother, two boys and two girls. Until it all changed suddenly with the untimely death of the father, Shinpei. While still mourning his passing, the children are hit…",7.4
